Date,BTC_usd,BTC_Volume
2016-05-05,446.710999,50440800
2016-05-06,447.941986,72796800
2016-05-07,459.639008,38364500
2016-05-08,458.428986,40315000
2016-05-09,458.205994,55493100
2016-05-10,460.518005,58956100
2016-05-11,450.864014,50605200
2016-05-12,452.446991,59849300
2016-05-13,454.850006,60845000
2016-05-14,455.822998,37209000
2016-05-15,455.759003,28514000
2016-05-16,457.585999,59171500
2016-05-17,454.009003,64100300
2016-05-18,453.69101,86850096
2016-05-19,454.523987,96027400
2016-05-20,437.792999,81987904
2016-05-21,442.966003,42762300
2016-05-22,443.217987,39657600
2016-05-23,439.347992,50582500
2016-05-24,444.290985,65783100
2016-05-25,446.062012,65231000
2016-05-26,449.671997,65203800
2016-05-27,453.520996,164780992
2016-05-28,473.028992,181199008
2016-05-29,527.47699,148736992
2016-05-30,528.471008,87958704
2016-05-31,534.190979,138450000
2016-06-01,531.106995,86061800
2016-06-02,536.515015,60378200
2016-06-03,537.682007,122020000
2016-06-04,569.705017,94925296
2016-06-05,573.307983,68874096
2016-06-06,574.60199,72138896
2016-06-07,585.445007,107770000
2016-06-08,577.166992,80265800
2016-06-09,582.203003,71301000
2016-06-10,575.836975,66991900
2016-06-11,578.674011,82357000
2016-06-12,609.684021,277084992
2016-06-13,671.653992,243295008
2016-06-14,704.504028,186694000
2016-06-15,685.684998,99223800
2016-06-16,696.52301,271633984
2016-06-17,768.487,363320992
2016-06-18,748.755981,252718000
2016-06-19,756.687988,136184992
2016-06-20,763.927002,174511008
2016-06-21,735.882996,309944000
2016-06-22,665.914978,266392992
2016-06-23,597.442993,253462000
2016-06-24,625.575012,224316992
2016-06-25,665.281006,126656000
2016-06-26,665.93103,109225000
2016-06-27,629.348999,122134000
2016-06-28,658.10199,138384992
2016-06-29,644.122009,142456000
2016-06-30,640.591003,138980000
2016-07-01,672.515015,134431008
2016-07-02,676.734009,112354000
2016-07-03,704.968018,129512000
2016-07-04,658.804016,92008400
2016-07-05,683.208984,130476000
2016-07-06,670.41803,134960992
2016-07-07,678.090027,258091008
2016-07-08,640.687988,141970000
2016-07-09,666.383972,180536000
2016-07-10,650.598999,102532000
2016-07-11,648.484009,107910000
2016-07-12,648.28302,138172992
2016-07-13,664.796997,131449000
2016-07-14,652.922974,98511400
2016-07-15,659.171021,81673104
2016-07-16,663.781006,50330200
2016-07-17,661.992981,74407904
2016-07-18,679.809021,69465000
2016-07-19,672.737976,61203300
2016-07-20,672.80603,94636400
2016-07-21,665.228027,60491800
2016-07-22,664.921997,134169000
2016-07-23,650.726013,69532200
2016-07-24,655.409973,118184000
2016-07-25,661.263,78176496
2016-07-26,654.226013,225135008
2016-07-27,651.627014,147460992
2016-07-28,654.492004,86428400
2016-07-29,655.111023,60703500
2016-07-30,657.012024,38456100
2016-07-31,655.099976,110818000
2016-08-01,624.60199,121887000
2016-08-02,606.396973,330932992
