Date,nasdaq_composite_index
2016-10-14,5241.259766
2016-10-17,5213.689941
2016-10-18,5255.319824
2016-10-19,5240.330078
2016-10-20,5238.200195
2016-10-21,5238.649902
2016-10-24,5290.310059
2016-10-25,5306.470215
2016-10-26,5256.399902
2016-10-27,5272.189941
2016-10-28,5203.700195
2016-10-31,5205.089844
2016-11-01,5199.77002
2016-11-02,5147.279785
2016-11-03,5104.700195
2016-11-04,5034.410156
2016-11-07,5128.990234
2016-11-08,5154.990234
2016-11-09,5143.859863
2016-11-10,5283.47998
2016-11-11,5191.819824
2016-11-14,5246.330078
2016-11-15,5241.350098
2016-11-16,5253.740234
2016-11-17,5295.069824
2016-11-18,5340.970215
2016-11-21,5336.779785
2016-11-22,5384.75
2016-11-23,5366.549805
2016-11-25,5388.490234
2016-11-28,5387.919922
2016-11-29,5370.97998
2016-11-30,5391.350098
2016-12-01,5323.879883
2016-12-02,5249.02002
2016-12-05,5283.580078
2016-12-06,5317.740234
2016-12-07,5322.669922
2016-12-08,5394.149902
2016-12-09,5436.109863
2016-12-12,5428.220215
2016-12-13,5433.569824
2016-12-14,5465.689941
2016-12-15,5443.509766
2016-12-16,5467.819824
2016-12-19,5441.200195
2016-12-20,5473.529785
2016-12-21,5482.629883
2016-12-22,5472.009766
2016-12-23,5441.759766
2016-12-27,5470.759766
2016-12-28,5497.439941
2016-12-29,5437.509766
2016-12-30,5440.169922
2017-01-03,5425.620117
2017-01-04,5440.910156
2017-01-05,5474.390137
2017-01-06,5499.080078
2017-01-09,5527.580078
2017-01-10,5536.540039
2017-01-11,5550.720215
2017-01-12,5542.560059
2017-01-13,5557.569824
2017-01-17,5555.160156
2017-01-18,5546.939941
2017-01-19,5560.609863
2017-01-20,5556.870117
2017-01-23,5546.640137
2017-01-24,5568.27002
2017-01-25,5635.859863
2017-01-26,5666.279785
2017-01-27,5664.879883
2017-01-30,5635.859863
2017-01-31,5592.870117
2017-02-01,5654.509766
2017-02-02,5627.149902
2017-02-03,5650.72998
2017-02-06,5656.950195
2017-02-07,5674.859863
2017-02-08,5662.950195
2017-02-09,5688.02002
2017-02-10,5726.169922
2017-02-13,5753.189941
2017-02-14,5756.509766
2017-02-15,5777.899902
2017-02-16,5823.009766
2017-02-17,5807.310059
2017-02-21,5850.200195
2017-02-22,5857.560059
2017-02-23,5866.819824
2017-02-24,5802.330078
2017-02-27,5835.040039
2017-02-28,5852.790039
2017-03-01,5874.859863
2017-03-02,5897.009766
2017-03-03,5854.27002
2017-03-06,5846.419922
2017-03-07,5836.120117
2017-03-08,5838.439941
2017-03-09,5834.669922
2017-03-10,5867.160156
2017-03-13,5863.47998
2017-03-14,5860.069824
2017-03-15,5869.97998
2017-03-16,5907.859863
2017-03-17,5898.580078
2017-03-20,5898.810059
2017-03-21,5923.419922
2017-03-22,5790.589844
2017-03-23,5812.310059
2017-03-24,5839.330078
2017-03-27,5776.330078
2017-03-28,5836.5
2017-03-29,5875.350098
2017-03-30,5896.149902
2017-03-31,5905.629883
2017-04-03,5917.319824
2017-04-04,5878.759766
2017-04-05,5911.919922
2017-04-06,5870.52002
2017-04-07,5873.939941
2017-04-10,5883.430176
2017-04-11,5871.160156
2017-04-12,5863.589844
2017-04-13,5828.370117
2017-04-17,5821.549805
2017-04-18,5838.589844
2017-04-19,5874.430176
2017-04-20,5887.870117
2017-04-21,5919.02002
2017-04-24,5979.959961
2017-04-25,6004.160156
2017-04-26,6028.120117
2017-04-27,6038.470215
2017-04-28,6072.870117
2017-05-01,6067.560059
2017-05-02,6102.509766
2017-05-03,6075.040039
2017-05-04,6075.060059
2017-05-05,6091.689941
2017-05-08,6100.660156
2017-05-09,6111.819824
2017-05-10,6121.640137
2017-05-11,6110.049805
2017-05-12,6119.27002
2017-05-15,6128.109863
2017-05-16,6160.52002
2017-05-17,6108.620117
2017-05-18,5998.459961
2017-05-19,6070.22998
2017-05-22,6098.25
2017-05-23,6149.549805
2017-05-24,6154.180176
2017-05-25,6183.02002
2017-05-26,6207.040039
2017-05-30,6204.180176
2017-05-31,6221.629883
2017-06-01,6215.910156
2017-06-02,6261.589844
2017-06-05,6305.470215
2017-06-06,6281.879883
2017-06-07,6290.439941
2017-06-08,6311.72998
2017-06-09,6330.25
2017-06-12,6153.560059
2017-06-13,6206.120117
2017-06-14,6237.459961
2017-06-15,6127.049805
2017-06-16,6154.279785
2017-06-19,6196.850098
2017-06-20,6229.620117
2017-06-21,6202.75
2017-06-22,6239.149902
2017-06-23,6234.350098
2017-06-26,6292.72998
2017-06-27,6227.899902
2017-06-28,6173.100098
2017-06-29,6215.490234
2017-06-30,6166.839844
2017-07-03,6173.290039
2017-07-05,6122.060059
2017-07-06,6109.600098
2017-07-07,6111.209961
2017-07-10,6156.029785
2017-07-11,6171.25
2017-07-12,6238.899902
2017-07-13,6269.100098
2017-07-14,6289.080078
2017-07-17,6320.350098
2017-07-18,6304.819824
2017-07-19,6363.240234
2017-07-20,6396.459961
2017-07-21,6383.049805
2017-07-24,6387.819824
2017-07-25,6407.589844
2017-07-26,6425.930176
2017-07-27,6459.759766
2017-07-28,6350.27002
2017-07-31,6394.689941
2017-08-01,6372.160156
2017-08-02,6393.100098
2017-08-03,6366.240234
2017-08-04,6350.790039
2017-08-07,6361.060059
2017-08-08,6373.330078
2017-08-09,6322.919922
2017-08-10,6312.649902
2017-08-11,6222.180176
2017-08-14,6306.109863
2017-08-15,6350.509766
2017-08-16,6348.109863
2017-08-17,6322.720215
2017-08-18,6222.459961
2017-08-21,6216.319824
2017-08-22,6241.209961
2017-08-23,6263.470215
2017-08-24,6294.819824
2017-08-25,6293.810059
2017-08-28,6286.009766
2017-08-29,6228.899902
2017-08-30,6308.680176
2017-08-31,6385.799805
2017-09-01,6442.169922
2017-09-05,6414.819824
2017-09-06,6394.350098
2017-09-07,6402.939941
2017-09-08,6389.649902
2017-09-11,6411.180176
2017-09-12,6448.810059
2017-09-13,6440.720215
2017-09-14,6439.459961
2017-09-15,6426.160156
2017-09-18,6460.100098
2017-09-19,6465.569824
2017-09-20,6459.740234
2017-09-21,6448.569824
2017-09-22,6401.439941
2017-09-25,6403.109863
2017-09-26,6391.850098
2017-09-27,6414.370117
2017-09-28,6437.959961
2017-09-29,6461.279785
2017-10-02,6506.080078
2017-10-03,6523.740234
2017-10-04,6521.959961
2017-10-05,6552.870117
2017-10-06,6566.950195
2017-10-09,6597.370117
2017-10-10,6602.490234
2017-10-11,6586.72998
2017-10-12,6594.759766
2017-10-13,6613.209961
2017-10-16,6622.549805
2017-10-17,6621.419922
2017-10-18,6634.259766
2017-10-19,6583.700195
2017-10-20,6633.370117
2017-10-23,6641.569824
2017-10-24,6598.609863
2017-10-25,6587.220215
2017-10-26,6567.589844
2017-10-27,6635.029785
2017-10-30,6693.77002
2017-10-31,6713.709961
2017-11-01,6758.640137
2017-11-02,6709.390137
2017-11-03,6737.089844
2017-11-06,6763.299805
2017-11-07,6785.439941
2017-11-08,6764.850098
2017-11-09,6737.450195
2017-11-10,6736.390137
2017-11-13,6727.390137
2017-11-14,6733.870117
2017-11-15,6700.680176
2017-11-16,6742.339844
2017-11-17,6794.450195
2017-11-20,6789.279785
2017-11-21,6820.549805
2017-11-22,6869.529785
2017-11-24,6878.109863
2017-11-27,6889.910156
2017-11-28,6893.720215
2017-11-29,6907.279785
2017-11-30,6852.799805
2017-12-01,6844.040039
2017-12-04,6897.129883
2017-12-05,6759.140137
2017-12-06,6742.069824
2017-12-07,6785.740234
2017-12-08,6859.950195
2017-12-11,6847.640137
2017-12-12,6872.709961
2017-12-13,6880.410156
2017-12-14,6887.379883
2017-12-15,6871.549805
2017-12-18,6980.399902
2017-12-19,6991.25
2017-12-20,6991.25
2017-12-21,6972.879883
2017-12-22,6958.02002
2017-12-26,6928.919922
2017-12-27,6941.450195
2017-12-28,6953.379883
2017-12-29,6952.609863
2018-01-02,6937.649902
2018-01-03,7017.069824
2018-01-04,7089.5
2018-01-05,7105.740234
2018-01-08,7135.379883
2018-01-09,7174.189941
2018-01-10,7129.830078
2018-01-11,7168.72998
2018-01-12,7208.169922
2018-01-16,7307.189941
2018-01-17,7257.77002
2018-01-18,7293.649902
2018-01-19,7312
2018-01-22,7338.040039
2018-01-23,7424.950195
2018-01-24,7474.160156
2018-01-25,7457.950195
2018-01-26,7448.330078
2018-01-29,7484.470215
2018-01-30,7388.890137
2018-01-31,7443.25
2018-02-01,7377.169922
2018-02-02,7347.589844
2018-02-05,7165.959961
2018-02-06,6837.560059
2018-02-07,7086.200195
2018-02-08,7067.299805
2018-02-09,6863.339844
2018-02-12,6936.680176
2018-02-13,6942.160156
2018-02-14,6979.240234
2018-02-15,7200.75
2018-02-16,7236.509766
2018-02-20,7209.029785
2018-02-21,7258.47998
2018-02-22,7252.459961
2018-02-23,7261.350098
2018-02-26,7373.299805
2018-02-27,7416.169922
2018-02-28,7371.410156
2018-03-01,7274.75
2018-03-02,7099.540039
2018-03-05,7222.890137
2018-03-06,7366.609863
2018-03-07,7311.740234
2018-03-08,7422.77002
2018-03-09,7475.97998
2018-03-12,7581.040039
2018-03-13,7627.52002
2018-03-14,7539.779785
2018-03-15,7509.240234
2018-03-16,7504.370117
2018-03-19,7419.200195
2018-03-20,7353.25
2018-03-21,7347.5
2018-03-22,7257.549805
2018-03-23,7170.680176
2018-03-26,7125.200195
2018-03-27,7255.470215
2018-03-28,6978.299805
2018-03-29,6984.660156
2018-04-02,7016.169922
2018-04-03,6924.350098
2018-04-04,6811.77002
2018-04-05,7099.25
2018-04-06,6999.569824
2018-04-09,6971.450195
2018-04-10,7060.990234
2018-04-11,7055
2018-04-12,7112.02002
2018-04-13,7179.620117
2018-04-16,7153.870117
2018-04-17,7215.120117
2018-04-18,7292.379883
2018-04-19,7258.609863
2018-04-20,7220.640137
2018-04-23,7173.990234
2018-04-24,7160.77002
2018-04-25,7009.990234
2018-04-26,7080.490234
2018-04-27,7195.52002
2018-04-30,7133.950195
2018-05-01,7053.649902
2018-05-02,7138.450195
2018-05-03,7065.029785
2018-05-04,7065.669922
2018-05-07,7241.819824
2018-05-08,7255.339844
2018-05-09,7281.529785
2018-05-10,7355.899902
2018-05-11,7393.970215
2018-05-14,7429.450195
2018-05-15,7361.299805
2018-05-16,7356.220215
2018-05-17,7379.580078
2018-05-18,7364.339844
2018-05-21,7406.339844
2018-05-22,7420.850098
2018-05-23,7335.029785
2018-05-24,7421.990234
2018-05-25,7422.200195
2018-05-29,7398.509766
2018-05-30,7428.410156
2018-05-31,7455.580078
2018-06-01,7487.660156
2018-06-04,7570.080078
2018-06-05,7621.359863
2018-06-06,7652.799805
2018-06-07,7697.410156
2018-06-08,7607.740234
2018-06-11,7647.240234
2018-06-12,7673.870117
2018-06-13,7713.899902
2018-06-14,7723.529785
2018-06-15,7725.029785
2018-06-18,7692.959961
2018-06-19,7658.470215
2018-06-20,7764.149902
2018-06-21,7800.299805
2018-06-22,7739.689941
2018-06-25,7631.120117
2018-06-26,7553.740234
2018-06-27,7586.330078
2018-06-28,7438.109863
2018-06-29,7544.129883
2018-07-02,7451.899902
2018-07-03,7593.629883
2018-07-05,7550.660156
2018-07-06,7595.930176
2018-07-09,7731.740234
2018-07-10,7770.629883
2018-07-11,7698.509766
2018-07-12,7752.709961
2018-07-13,7827.620117
2018-07-16,7831.740234
2018-07-17,7751.970215
2018-07-18,7859.430176
2018-07-19,7829.799805
2018-07-20,7843.080078
2018-07-23,7806.930176
2018-07-24,7914.350098
2018-07-25,7839.089844
2018-07-26,7848.040039
2018-07-27,7889.75
2018-07-30,7735.27002
2018-07-31,7654.589844
2018-08-01,7701.819824
2018-08-02,7659.52002
2018-08-03,7819.22998
2018-08-06,7809.540039
2018-08-07,7878.620117
2018-08-08,7880
2018-08-09,7886.52002
2018-08-10,7834.709961
2018-08-13,7848
2018-08-14,7847.879883
2018-08-15,7810.02002
2018-08-16,7826.950195
2018-08-17,7786.640137
2018-08-20,7834.370117
2018-08-21,7840.089844
2018-08-22,7844.040039
2018-08-23,7886.470215
2018-08-24,7907.810059
2018-08-27,7989.640137
2018-08-28,8039.009766
2018-08-29,8044.339844
2018-08-30,8094.200195
2018-08-31,8079.310059
2018-09-04,8087.950195
2018-09-05,8073.529785
2018-09-06,7998.27002
2018-09-07,7878.790039
2018-09-10,7939.569824
2018-09-11,7894.870117
2018-09-12,7958.870117
2018-09-13,7999.930176
2018-09-14,8026.160156
2018-09-17,7992.209961
2018-09-18,7903.569824
2018-09-19,7962.549805
2018-09-20,7993.529785
2018-09-21,8041.689941
2018-09-24,7939.379883
2018-09-25,8001.589844
2018-09-26,8011.680176
2018-09-27,8021.220215
2018-09-28,8024.5
2018-10-01,8091.5
2018-10-02,8024.470215
2018-10-03,8034.649902
2018-10-04,7993.330078
2018-10-05,7874.759766
2018-10-08,7747.100098
2018-10-09,7728.509766
2018-10-10,7694.080078
2018-10-11,7388.069824
2018-10-12,7507.839844
2018-10-15,7473.330078
2018-10-16,7501.779785
2018-10-17,7669.259766
2018-10-18,7616.470215
2018-10-19,7530.160156
2018-10-22,7486.740234
2018-10-23,7328.549805
2018-10-24,7423.209961
2018-10-25,7197.490234
2018-10-26,7125.180176
2018-10-29,7272.419922
2018-10-30,7017.870117
2018-10-31,7276.620117
2018-11-01,7327.819824
2018-11-02,7424.02002
2018-11-05,7344.080078
2018-11-06,7326.069824
2018-11-07,7446.089844
2018-11-08,7544.169922
2018-11-09,7468.509766
2018-11-12,7364.049805
2018-11-13,7230.689941
2018-11-14,7265.390137
2018-11-15,7112.830078
2018-11-16,7193.600098
2018-11-19,7217.240234
2018-11-20,6867.430176
2018-11-21,6985.509766
2018-11-23,6919.52002
2018-11-26,7026.5
2018-11-27,7041.22998
2018-11-28,7135.080078
2018-11-29,7267.370117
2018-11-30,7279.299805
2018-12-03,7486.129883
2018-12-04,7407.950195
2018-12-06,7017.049805
2018-12-07,7163.490234
2018-12-10,6959.629883
2018-12-11,7121.660156
2018-12-12,7127
2018-12-13,7135.279785
2018-12-14,6986.370117
2018-12-17,6886.459961
2018-12-18,6809.819824
2018-12-19,6777.589844
2018-12-20,6607.759766
2018-12-21,6573.490234
2018-12-24,6278.490234
2018-12-26,6257.859863
2018-12-27,6457.189941
2018-12-28,6616.790039
2018-12-31,6649.52002
2019-01-02,6506.910156
2019-01-03,6584.77002
2019-01-04,6567.140137
2019-01-07,6757.529785
2019-01-08,6893.439941
2019-01-09,6923.060059
2019-01-10,6908.649902
2019-01-11,6947.459961
2019-01-14,6908.029785
2019-01-15,6931.390137
2019-01-16,7033.75
2019-01-17,7010.129883
2019-01-18,7134.100098
2019-01-22,7109.569824
2019-01-23,7061.649902
2019-01-24,7042.25
2019-01-25,7128.180176
2019-01-28,7075.009766
2019-01-29,7087.490234
2019-01-30,7094.790039
2019-01-31,7208.169922
2019-02-01,7256.370117
2019-02-04,7266.279785
2019-02-05,7356.339844
2019-02-06,7400.439941
2019-02-07,7316.5
2019-02-08,7232.299805
2019-02-11,7327.370117
2019-02-12,7358.850098
2019-02-13,7437.459961
2019-02-14,7390.25
2019-02-15,7468.569824
2019-02-19,7450.75
2019-02-20,7490.310059
2019-02-21,7475.410156
2019-02-22,7481.629883
2019-02-25,7585.299805
2019-02-26,7535.290039
2019-02-27,7526.419922
2019-02-28,7533.310059
2019-03-01,7587.450195
2019-03-04,7636.620117
2019-03-05,7582.290039
2019-03-06,7575.379883
2019-03-07,7483.790039
2019-03-08,7334.350098
2019-03-11,7442.560059
2019-03-12,7571.850098
2019-03-13,7621.379883
2019-03-14,7644.790039
2019-03-15,7658.410156
2019-03-18,7696.379883
2019-03-19,7747.399902
2019-03-20,7721.950195
2019-03-21,7705.430176
2019-03-22,7800.25
2019-03-25,7618.97998
2019-03-26,7700
2019-03-27,7702.049805
2019-03-28,7660.069824
2019-03-29,7726.709961
2019-04-01,7800.240234
2019-04-02,7824.609863
2019-04-03,7891.180176
2019-04-04,7894.259766
2019-04-05,7914.509766
2019-04-08,7924.890137
2019-04-09,7924.77002
2019-04-10,7922.72998
2019-04-11,7975.200195
