Date,NYSE_usd
2017-02-22,11544.16992
2017-02-23,11586.95996
2017-02-24,11556.15039
2017-02-27,11531.38965
2017-02-28,11528.91016
2017-03-01,11593.20996
2017-03-02,11633.63965
2017-03-03,11575.91992
2017-03-06,11556.62988
2017-03-07,11547.79004
2017-03-08,11511.83984
2017-03-09,11454.58984
2017-03-10,11510.94043
2017-03-13,11507.19043
2017-03-14,11479.03027
2017-03-15,11490.32031
2017-03-16,11619.05957
2017-03-17,11614.90039
2017-03-20,11582.71973
2017-03-21,11598.55957
2017-03-22,11406.59961
2017-03-23,11410.46973
2017-03-24,11440.91016
2017-03-27,11341.32031
2017-03-28,11403.70996
2017-03-29,11463.73047
2017-03-30,11494.86035
2017-03-31,11497.80957
2017-04-03,11495.33008
2017-04-04,11463.78027
2017-04-05,11501.62012
2017-04-06,11426.58008
2017-04-07,11444.29981
2017-04-10,11454.11035
2017-04-11,11456.20996
2017-04-12,11460.21973
2017-04-13,11390.75
2017-04-17,11351.66992
2017-04-18,11426.83008
2017-04-19,11401.99023
2017-04-20,11375.66016
2017-04-21,11419.49023
2017-04-24,11515.00977
2017-04-25,11573.66992
2017-04-26,11594.66992
2017-04-27,11601.33008
2017-04-28,11579.30957
2017-05-01,11550.41016
2017-05-02,11554.09961
2017-05-03,11527.88965
2017-05-04,11544.13965
2017-05-05,11554.08008
2017-05-08,11607.28027
2017-05-09,11602.41992
2017-05-10,11571.71973
2017-05-11,11572
2017-05-12,11551.36035
2017-05-15,11547.44043
2017-05-16,11635
2017-05-17,11522.96973
2017-05-18,11392.90039
2017-05-19,11475.00977
2017-05-22,11574.83008
2017-05-23,11602.37988
2017-05-24,11605.29004
2017-05-25,11641.36035
2017-05-26,11625.32031
2017-05-30,11607
2017-05-31,11610.88965
2017-06-01,11616.20996
2017-06-02,11702.12988
2017-06-05,11700.45996
2017-06-06,11661.94043
2017-06-07,11677.82031
2017-06-08,11664.51953
2017-06-09,11678.86035
2017-06-12,11749.34961
2017-06-13,11770.08984
2017-06-14,11810.87012
2017-06-15,11703.25
2017-06-16,11745.29981
2017-06-19,11801.83008
2017-06-20,11801.2002
2017-06-21,11742.48047
