Date,Litecoin_usd
2017-01-04,4.63375
2017-01-05,4.91437
2017-01-06,4.3024
2017-01-07,3.86339
2017-01-08,3.95912
2017-01-09,3.99698
2017-01-10,4.30092
2017-01-11,4.59716
2017-01-12,3.83671
2017-01-13,3.94848
2017-01-14,3.89258
2017-01-15,3.88878
2017-01-16,3.92204
2017-01-17,3.9057
2017-01-18,3.94225
2017-01-19,3.8419
2017-01-20,3.85918
2017-01-21,3.89257
2017-01-22,3.90248
2017-01-23,3.85613
2017-01-24,3.83527
2017-01-25,3.79133
2017-01-26,3.71444
2017-01-27,3.8401
2017-01-28,3.85353
2017-01-29,3.85244
2017-01-30,3.85623
2017-01-31,4.0165
2017-02-01,4.07604
2017-02-02,4.07515
2017-02-03,4.08163
2017-02-04,4.08451
2017-02-05,4.06511
2017-02-06,4.05798
2017-02-07,4.05348
2017-02-08,4.04974
2017-02-09,4.02965
2017-02-10,3.80109
2017-02-11,3.77722
2017-02-12,3.79587
2017-02-13,3.76823
2017-02-14,3.71529
2017-02-15,3.76918
2017-02-16,3.79676
2017-02-17,3.77838
2017-02-18,3.828
2017-02-19,3.79258
2017-02-20,3.76865
2017-02-21,3.76362
2017-02-22,3.78758
2017-02-23,3.80004
2017-02-24,3.83092
2017-02-25,3.85222
2017-02-26,3.81588
2017-02-27,3.81343
2017-02-28,3.80369
2017-03-01,3.77306
2017-03-02,3.79529
2017-03-03,3.92129
2017-03-04,3.91191
2017-03-05,3.8631
2017-03-06,3.87224
2017-03-07,3.89404
2017-03-08,3.80758
2017-03-09,3.76639
2017-03-10,3.82828
2017-03-11,3.7588
2017-03-12,3.7866
2017-03-13,3.84744
2017-03-14,4.17381
2017-03-15,4.04686
2017-03-16,4.14731
2017-03-17,4.23317
2017-03-18,4.04052
2017-03-19,3.9565
2017-03-20,3.95048
2017-03-21,4.03637
2017-03-22,3.98735
2017-03-23,3.93174
2017-03-24,3.97307
2017-03-25,4.07347
2017-03-26,4.06615
2017-03-27,4.06639
2017-03-28,4.06968
2017-03-29,4.14237
2017-03-30,4.17891
2017-03-31,7.01873
2017-04-01,6.65316
2017-04-02,6.86292
2017-04-03,7.74462
2017-04-04,8.11843
2017-04-05,8.24728
2017-04-06,11.1231
2017-04-07,10.2235
2017-04-08,9.33604
2017-04-09,9.88879
2017-04-10,8.721
2017-04-11,8.91162
2017-04-12,8.83101
2017-04-13,10.7644
2017-04-14,10.1309
2017-04-15,10.3421
2017-04-16,10.7455
2017-04-17,10.5957
2017-04-18,10.4189
2017-04-19,10.3138
2017-04-20,9.63475
2017-04-21,10.2915
2017-04-22,11.1766
2017-04-23,13.0653
2017-04-24,13.964
2017-04-25,14.9787
2017-04-26,15.2059
2017-04-27,14.8436
2017-04-28,14.5931
2017-04-29,14.397
2017-04-30,15.7031
2017-05-01,15.7081
2017-05-02,15.9227
2017-05-03,15.8752
2017-05-04,21.0445
2017-05-05,23.471201
2017-05-06,26.466801
2017-05-07,28.2015
2017-05-08,30.3724
2017-05-09,28.964399
2017-05-10,33.2981
2017-05-11,32.657101
2017-05-12,30.931299
2017-05-13,27.218901
2017-05-14,29.09
2017-05-15,28.894501
2017-05-16,25.337601
2017-05-17,23.242399
2017-05-18,25.1654
2017-05-19,28.2871
2017-05-20,27.681299
2017-05-21,27.4762
2017-05-22,26.1415
2017-05-23,25.303499
2017-05-24,32.1217
